depth,Total Pollen and Spores,Control,Acer,Quercus,Lithocarpus,Juglans,RRA,Hedyosmum,Abies,Erodium cicutarium,Eucalyptus,Salix,Myrica,Corylus,Alnus,Artemisia,Ambrosia,Liguliflorae,COMPOSITAE,CRUCIFERAE,TCT,Eriogonum spp.,Rumex spp.,Rumex acetosella,POLEMONIACEAE,Sequoia,RANUNCULACEAE,UMBELLIFERAE,Toxicodendron diversiloba,Plantago maritima,Plantago lanceolata,GRAMINEAE,Zea,CHENOPODIACEAE,Pseudostuga,Typha latifolia,Typha/ Sparganium,CYPERACEAE,Myriophyllum,Potamogeton,Triglochin,Isoetes,Dryopteris,Polypodium,Pteridium,Trilete Spore,Monolete Spore,EUPHORBIACEAE / RUTACEAE /,Pediastrum,Indeterminate,Unknown,
200.0,156.0,73.00,2.000,5.000,2.000,0,2.000,0,0,0,0,2.000,0,0,13.00,3.000,0,0,6.000,0,6.000,0,0,0,1.000,19.00,1.000,0,2.000,0,0,3.000,0,13.00,3.000,0,0,10.00,0,0,0,0,1.000,3.000,0,3.000,10.00,0,0,21.00,0,
250.0,432.0,144.0,8.000,35.00,2.000,0,7.000,0,0,0,0,3.000,4.000,0,33.00,8.000,1.000,1.000,14.00,0,17.00,0,0,0,0,56.00,1.000,1.000,0,0,0,28.00,0,61.00,1.000,1.000,7.000,35.00,0,0,0,0,0,1.000,0,4.000,23.00,0,0,32.00,0,
260.0,356.0,268.0,1.000,22.00,2.000,0,7.000,0,0,0,0,9.000,3.000,0,25.00,8.000,0,0,16.00,0,13.00,2.000,0,0,2.000,54.00,0,0,2.000,0,0,12.00,0,30.00,6.000,2.000,13.00,20.00,4.000,0,0,0,2.000,0,0,1.000,20.00,0,0,46.00,0,
263.0,260.0,328.0,0,20.00,3.000,0,5.000,0,0,0,0,5.000,5.000,0,9.000,4.000,0,0,13.00,0,6.000,0,0,0,0,30.00,2.000,1.000,0,0,0,4.000,0,24.00,2.000,2.000,10.00,14.00,1.000,0,2.000,0,5.000,0,0,3.000,22.00,0,12.00,24.00,0,
265.0,450.0,84.00,0,42.00,0,0,7.000,0,0,0,0,9.000,4.000,0,21.00,10.00,4.000,0,6.000,0,4.000,0,0,0,0,62.00,0,1.000,0,0,0,21.00,0,55.00,2.000,13.00,50.00,49.00,19.00,0,8.000,0,1.000,0,0,4.000,12.00,0,0,26.00,0,
267.0,369.0,258.0,1.000,37.00,0,0,7.000,0,0,0,0,19.00,1.000,0,20.00,11.00,2.000,0,14.00,0,13.00,1.000,1.000,0,2.000,52.00,1.000,1.000,0,0,0,11.00,0,12.00,7.000,2.000,13.00,37.00,4.000,0,4.000,0,6.000,0,0,0,19.00,0,0,46.00,0,
270.0,434.0,120.0,0,25.00,0,0,11.00,0,0,0,0,13.00,2.000,1.000,24.00,17.00,2.000,0,9.000,0,5.000,0,0,0,1.000,51.00,1.000,1.000,0,1.000,0,22.00,0,22.00,3.000,4.000,46.00,53.00,15.00,0,3.000,0,4.000,1.000,0,5.000,22.00,0,0,39.00,0,
271.0,275.0,235.0,0,21.00,4.000,0,5.000,0,0,0,0,18.00,2.000,0,10.00,5.000,2.000,1.000,5.000,0,7.000,0,0,0,0,25.00,0,2.000,3.000,0,0,11.00,0,16.00,2.000,2.000,22.00,27.00,0,0,3.000,0,5.000,1.000,0,1.000,24.00,0,43.00,26.00,0,
273.0,314.0,156.0,0,27.00,0,0,5.000,0,0,0,0,15.00,0,0,22.00,4.000,0,0,6.000,0,8.000,0,0,0,3.000,37.00,0,0,0,0,0,18.00,0,24.00,3.000,7.000,42.00,30.00,14.00,0,7.000,0,1.000,1.000,0,2.000,5.000,0,0,17.00,0,
275.0,404.0,168.0,1.000,30.00,0,0,6.000,0,0,0,0,8.000,2.000,0,36.00,5.000,1.000,0,5.000,0,13.00,1.000,0,0,0,39.00,1.000,1.000,0,0,0,18.00,0,40.00,4.000,4.000,58.00,40.00,20.00,0,8.000,0,3.000,1.000,0,2.000,9.000,0,0,22.00,0,
